title,company,location,job_type,salary,description
Website Assistant - Tempe NSW - #227144,Church Grounds,Tempe NSW,,,"Maintain and update content on WordPress site using Elementor • Troubleshoot technical issues and optimize website performance • Strong knowledge of website hosting, AWS Lightsail, and server tools"
First Line Support,Anson Mccade,Sydney CBD NSW,Contract,,"Provide first line support for hardware, software, and applications • Escalate complex issues to second line or specialist teams • Previous experience in helpdesk support, ITSM tools proficiency required"
Project Co-ordinator,Clicks IT Recruitment,New South Wales,Permanent,"$90,000 - $90,000","Coordinate pre-installation planning, site visits, and installation scheduling • Coordinate construction or tech-installation projects, 2+ years experience. • Opportunity for career growth into Project Manager roles, competitive salary"
Manager | Guidewire Business Analyst,PwC,Sydney NSW,Full time,,Lead Guidewire suite implementations for top ASX organizations • Drive enterprise system integration within insurance domain • Engage in business development activities and enhance Guidewire tools
WAS Admin,eTeam,Sydney NSW,,,"10+ years experience in WAS administration and maintenance • Migration of J2EE applications to WAS 8.5 • Strong skills in scripting languages like JYTHON, ESQL, REXX"
IT Support Engineer | Part-Time - 2 Days per week,Talent International,Parkes NSW,Contract,$35 - $35,"Provide first and second-level technical support onsite and remotely • Experience in large enterprise environment with Windows, MS Office • Knowledge of mobile device management, SCCM, Active Directory required"
Knowledge Management Specialist (ServiceNow) - FTC to June 30th 2027,Reserve Bank of Australia,Sydney NSW,Full time,,Develop and implement governance strategies for IT knowledge management • Collaborate with IT and business teams to identify knowledge gaps • Bachelor’s degree in IT or Computer Science required
Services Manager,Westcon-Comstor,Sydney NSW,Full time,,Achieve revenue targets for various service pillars • Lead and manage professional services projects in IT channel • Collaborate with sales and vendors to develop tailored service offerings
Network Security Consultant,Info Resume Edge,Sydney NSW,,,"Assess, design, and implement network security solutions • Conduct audits, respond to breaches, and provide incident support • Bachelor's degree, certifications, and strong cybersecurity knowledge required"
IT Support Specialist,King Living,Turrella NSW,Full time,,"Provide technical support onsite and remotely, minimizing downtime • Manage Microsoft 365, Meraki, UniFi, Teams Calling, and Twilio • Experience in Windows OS, Active Directory, networking fundamentals required"
ServiceNow Customer and Industry Workflows Specialist Solution Consultant (Telco),ServiceNow,Sydney NSW,Full time,,"7+ years pre-sales solution consulting experience in telco industry • Deep domain expertise in telecommunications, OSS/BSS systems, network operations • Proficiency in ServiceNow platform, AI integration, and telco solutions"
Trainee It Support Officer,Albury City Council,Albury NSW,Traineeship,,"Assist in maintaining IT systems, providing technical support • Rotational work between IT Service Desk and IT Operations teams • Enrolment in Certificate III in Information Technology required"
Service Assurance Specialist,Symbio,Sydney NSW,Full time,,"Manage service assurance processes for Symbio (TaaS) products • Resolve incidents and faults with internal stakeholders and vendors • Requires 2 years Telecom/IT experience, VoIP/SIP, NBN knowledge"
Expression of Interest: 2026 DXC Graduate Program Australia,DXC Technology,Sydney NSW,Full time,,"Join DXC Graduate Program to deliver mission critical IT services • Various roles available including Application Developer, Cyber Security, Sales • Australian citizen, degree completed by Feb 2026"
Tech Business Analyst 1 & 2,Kirra Services,New South Wales,,,"Minimum 10 years tech BA experience in IT Consulting • Experience in credit risk in banking and data initiatives • Skills in SQL, SAS software, Agile frameworks, and project management"
Digital Forensics and eDiscovery,PwC,Sydney NSW,Full time,,Performing forensic acquisition and analysis of electronic evidence • Consulting with clients on business issues and explaining technical concepts • Supporting document review environments and coordinating workflow tasks
Spotify/Playlist/Technology Support Volunteer,Anglicare Australia,South Hurstville NSW,,,"Provide basic IT support to residents in care home • Assist with navigating iPads, setting up playlists, accessing YouTube • Volunteer orientation, facility induction, and NDIS module training"
IT Undergraduate / Trainee,Port Waratah Coal,Newcastle NSW,Traineeship,,"Gain diverse IT experience through rotations in various teams • Fully funded university degree with practical skills development • Competitive salary, health & fitness perks, and inclusive culture"
Backend Engineer Intern (Media Network Global Engineering) - 2026 Start,TikTok,Sydney NSW,Internship,,"Contribute to backend service development and Design System solutions • Proficient in programming languages like Java, Python, or Go • Strong computer science foundation with analytical skills"
Data Engineer,Zone IT Solutions,Sydney NSW,Full time,,"Design and implement data architectures, integrate data from sources • Optimize data pipelines, develop ETL processes, ensure data security • Bachelor's degree in Computer Science or related field required"
IT Support Specialist,Credabl,Sydney CBD NSW,Full time,"$87,975 - $87,975","Maintain and manage end user equipment for optimal performance • Lead initiatives to improve support service workflows and efficiencies • Proficiently oversee Microsoft 365, SharePoint, Exchange, and Teams Admin"
Siebel Developer,Zone IT Solutions,Sydney NSW,,,"Develop, maintain Siebel CRM applications and solutions • Design customizations, extensions, troubleshoot complex issues in Siebel • Strong understanding of Siebel architecture, data model required"
"Legal Counsel, Product & Privacy (Business Operations & Data Governance)",Canva,Sydney NSW,,,"Provide legal support for Canva's privacy compliance strategy • Handle multi-jurisdictional data privacy incidents and obligations • 3-6 years legal practice, technology company experience, CIPP/E certification"
Project Leader or Principal - Technology & Digital Consulting,BCG Digital Ventures,Sydney NSW,,,Lead technology and digital transformation programs for clients • Manage high-performing case/project teams and drive business development • Bachelors degree in IT/Computer Science or related field required
"Business Analyst, Shared Services",Cuscal,Sydney NSW,Full time,,"3+ years experience in IT industry within Banking or Financial Services • Translate requirements into user stories and acceptance criteria • Degree in Computer Science, Information Systems, or Business"
Senior Consultant,Infosys,Sydney NSW,,"$101,232 - $102,031","Develop and execute test data strategies tailored to project needs • Manage test data support, refresh, and masking activities for applications • 6-10 years IT experience, proficiency in stakeholder management required"
